0,0.269025,-3.49843,0.377851,-2.2108,-1.01932,-2.33334,-0.143388,-1.42714,10.9113,6.93643,10.9113,6.93643,0.0258892,-0.823755,-0.0106377,20,3,1
0.05,0.0706876,-4.37439,0.242871,-3.14879,-1.12235,-1.78777,-0.206074,-1.08032,11.3352,7.14969,11.3352,7.14969,0.00791136,-0.823755,-0.0106377,20,3,1
0.1,-0.161926,-4.85359,0.0675104,-3.81078,-1.19757,-1.22102,-0.251153,-0.722834,11.1393,6.97881,11.1393,6.97881,0.00381706,-0.823755,-0.0106377,20,3,1
0.15,-0.406227,-4.83598,-0.13184,-4.09805,-1.24469,-0.66405,-0.278571,-0.373893,10.4109,6.48036,10.4109,6.48036,0.0222491,-0.823755,-0.0106377,20,3,1
0.2,-0.636568,-4.30295,-0.33488,-3.9568,-1.26488,-0.143503,-0.289166,-0.0498756,9.25307,5.72019,9.25307,5.72019,0.0598918,-0.823755,-0.0106377,20,3,1
0.25,-0.828639,-3.32371,-0.520176,-3.39664,-1.26049,0.31915,-0.284509,0.236134,7.77729,4.76903,7.77729,4.76903,0.102966,-0.823755,-0.0106377,20,3,1
0.3,-0.963119,-2.0214,-0.668308,-2.48547,-1.23481,0.708014,-0.266741,0.474585,6.09711,3.69832,6.09711,3.69832,0.137415,-0.823755,-0.0106377,20,3,1
0.35,-1.02718,-0.52705,-0.764188,-1.32434,-1.19179,1.01287,-0.238389,0.659501,4.3221,2.57653,4.3221,2.57653,0.15602,-0.823755,-0.0106377,20,3,1
0.4,-1.01411,1.04699,-0.798027,-0.0209701,-1.13574,1.22898,-0.202193,0.788327,2.55286,1.46613,2.55286,1.46613,0.157152,-0.823755,-0.0106377,20,3,1
0.45,-0.922351,2.60485,-0.765286,1.32264,-1.0711,1.35662,-0.160944,0.861634,0.877138,0.421232,0.877138,0.421232,0.140546,-0.823755,-0.0106377,20,3,1
0.5,-0.755118,4.04705,-0.666431,2.60691,-1.00218,1.40048,-0.117336,0.882696,-0.632979,-0.514118,-0.632979,-0.514118,0.106477,-0.823755,-0.0106377,20,3,1
0,0.0839223,-3.84636,0.250991,-2.82422,-1.13599,-2.33353,-0.214748,-1.42727,13.2453,8.36402,13.2453,8.36402,0.00865085,-0.823755,-0.0106377,20,3,1
0.05,-0.125736,-4.47127,0.0897539,-3.57534,-1.23611,-1.67127,-0.275656,-1.00907,13.2609,8.32758,13.2609,8.32758,0.00296006,-0.823755,-0.0106377,20,3,1
0.1,-0.35565,-4.64672,-0.100771,-3.98356,-1.3031,-1.00822,-0.3157,-0.59269,12.6115,7.87933,12.6115,7.87933,0.0167665,-0.823755,-0.0106377,20,3,1
0.15,-0.581655,-4.3174,-0.301424,-3.97604,-1.33774,-0.377646,-0.335486,-0.198724,11.4127,7.09313,11.4127,7.09313,0.0503271,-0.823755,-0.0106377,20,3,1
0.2,-0.779048,-3.51678,-0.490857,-3.54021,-1.34236,0.19299,-0.336556,0.155933,9.79313,6.05056,9.79313,6.05056,0.0927362,-0.823755,-0.0106377,20,3,1
0.25,-0.926688,-2.34824,-0.648723,-2.72697,-1.32047,0.682647,-0.321196,0.458461,7.88634,4.83578,7.88634,4.83578,0.129853,-0.823755,-0.0106377,20,3,1
0.3,-1.00941,-0.941084,-0.758397,-1.62998,-1.27648,1.07696,-0.292228,0.70025,5.82359,3.53106,5.82359,3.53106,0.152771,-0.823755,-0.0106377,20,3,1
0.35,-1.01835,0.585275,-0.808386,-0.357118,-1.21535,1.36814,-0.252802,0.876803,3.7275,2.21287,3.7275,2.21287,0.158752,-0.823755,-0.0106377,20,3,1
0.4,-0.950109,2.1303,-0.792527,0.987568,-1.14228,1.55452,-0.206195,0.987446,1.70704,0.948817,1.70704,0.948817,0.147332,-0.823755,-0.0106377,20,3,1
0.45,-0.8061,3.59839,-0.70971,2.30485,-1.06243,1.63987,-0.155637,1.03489,-0.146209,-0.204672,-0.146209,-0.204672,0.118236,-0.823755,-0.0106377,20,3,1
0.5,-0.59287,4.87775,-0.563858,3.49105,-0.980614,1.63256,-0.104149,1.02465,-1.76049,-1.20374,-1.76049,-1.20374,0.0744614,-0.823755,-0.0106377,20,3,1
0,-0.109331,-3.82095,0.0999156,-3.17036,-1.25267,-2.33371,-0.286116,-1.42742,15.5794,9.79183,15.5794,9.79183,0.00272115,-0.823755,-0.0106377,20,3,1
0.05,-0.310951,-4.17431,-0.072996,-3.68998,-1.34988,-1.55474,-0.345247,-0.937829,15.1867,9.50568,15.1867,9.50568,0.0125726,-0.823755,-0.0106377,20,3,1
0.1,-0.518975,-4.0743,-0.262591,-3.83055,-1.40863,-0.795401,-0.380257,-0.462545,14.0838,8.78001,14.0838,8.78001,0.040198,-0.823755,-0.0106377,20,3,1
0.15,-0.710168,-3.50989,-0.448745,-3.5542,-1.4308,-0.0912115,-0.392409,-0.0235443,12.4145,7.70605,12.4145,7.70605,0.0788883,-0.823755,-0.0106377,20,3,1
0.2,-0.862756,-2.54756,-0.61103,-2.88648,-1.41984,0.529515,-0.383953,0.361758,10.3332,6.38104,10.3332,6.38104,0.116365,-0.823755,-0.0106377,20,3,1
0.25,-0.959583,-1.29971,-0.73167,-1.90445,-1.38045,1.04618,-0.357889,0.68081,7.99538,4.9026,7.99538,4.9026,0.14268,-0.823755,-0.0106377,20,3,1
0.3,-0.989401,0.113989,-0.797465,-0.710137,-1.31815,1.44594,-0.31772,0.92594,5.55001,3.36383,5.55001,3.36383,0.153478,-0.823755,-0.0106377,20,3,1
0.35,-0.946625,1.58739,-0.800429,0.592217,-1.23891,1.72344,-0.267219,1.09413,3.13281,1.84922,3.13281,1.84922,0.147659,-0.823755,-0.0106377,20,3,1
0.4,-0.83066,3.02493,-0.737649,1.90348,-1.14882,1.88009,-0.210201,1.18659,0.861127,0.431477,0.861127,0.431477,0.124729,-0.823755,-0.0106377,20,3,1
0.45,-0.645777,4.32487,-0.611156,3.12367,-1.05374,1.92314,-0.150331,1.20817,-1.16966,-0.830625,-1.16966,-0.830625,0.086137,-0.823755,-0.0106377,20,3,1
0.5,-0.401828,5.36544,-0.428193,4.14365,-0.959049,1.86466,-0.0909614,1.16664,-2.88811,-1.89343,-2.88811,-1.89343,0.0405232,-0.823755,-0.0106377,20,3,1
0,-0.291948,-3.42554,-0.0608739,-3.20891,-1.36936,-2.33389,-0.357491,-1.42757,17.9138,11.2198,17.9138,11.2198,0.0109781,-0.823755,-0.0106377,20,3,1
0.05,-0.467355,-3.52817,-0.229534,-3.48091,-1.46366,-1.4382,-0.414845,-0.866581,17.1127,10.6839,17.1127,10.6839,0.0325323,-0.823755,-0.0106377,20,3,1
0.1,-0.637562,-3.22039,-0.402404,-3.37576,-1.51418,-0.582564,-0.444819,-0.332387,15.5562,9.68079,15.5562,9.68079,0.0648984,-0.823755,-0.0106377,20,3,1
0.15,-0.782294,-2.52116,-0.560313,-2.88928,-1.52386,0.195247,-0.449337,0.151652,13.4164,8.31904,13.4164,8.31904,0.0993912,-0.823755,-0.0106377,20,3,1
0.2,-0.883772,-1.50751,-0.685304,-2.07235,-1.49733,0.866069,-0.431356,0.567604,10.8733,6.71155,10.8733,6.71155,0.12673,-0.823755,-0.0106377,20,3,1
0.25,-0.928859,-0.283824,-0.762944,-1.01155,-1.44044,1.40974,-0.394586,0.903182,8.10442,4.96943,8.10442,4.96943,0.141238,-0.823755,-0.0106377,20,3,1
